has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,3,13,0,0,0,226,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://amkzvf.webwave.dev/,1
1,1,1,0,1,1,0,1,1,0,0,10,5,0,0,36,0,0,16,29,7,25,1,1,1,10460,5,68,55,345,16,1,1,1,0,1,12,1,0,0,0,30,0,http://www.leadphysio.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://totalmerchanteast.com/jp,1
1,1,0,0,1,1,1,0,1,0,0,7,0,0,22,0,0,0,3,0,13,44,1,0,0,1821,0,40,11,71,0,0,1,0,0,1,11,0,0,0,0,10,0,http://www.c4.fr,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macsaoeod.8jyshd.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-poccoy.aueseacaemceoy.yhuheg.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsviveai.vicsvesai.ggnxmf.top/page1.php,1
1,1,1,0,1,1,0,0,0,0,0,2,1,0,0,48,0,0,10,48,51,34,0,1,0,885,0,47,1,194,0,1,1,0,0,0,17,1,0,0,0,19,0,http://www.raveston.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macesaorod.yvey51.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsviaaaiecc.vicsvesai.fvxl0d.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsviaaaiecc.vicsvesai.ggnxmf.top/page1.php,1
0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.hkwindsacademy.synology.me,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiisaviccai.vicsvesai.92rgso.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-poccay.aeeseacoaocmeoy.kplwvi.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiiscvcaias.visvsai.fvxl0d.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-poccay.aeeseacoaocmeoy.lsepea.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-poccay.aeeauaccaocmeoy.yzioih.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsicisvcai.visvsai.se9ijc.icu/page1.php,1
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,18,0,0,9,5,5,4,1,1,1,433,0,23,2,85,1,0,1,0,0,1,20,1,0,1,2,12,0,http://www.fimco.net,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,http://www.c6a9.csqoy.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-paccoy.aeeauaccaocmeoy.bluxbq.top/AU/page1.php,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,4,20,7,22,1,1,1,3570,0,10,14,27,0,1,0,0,0,0,4,1,0,0,0,6,0,http://www.is-a-caterer.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macesaorod.3wj9fr.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiivai.vicsvesai.45v2lh.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiivai.vicsvesai.gh43qf.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macsaorod.jqsqm7.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macsarord.lmc2ry.icu/page1.php,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,1,161,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,http://www.solutionixinc.com,1
1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,8,0,1,9,1,17,8,1,1,1,1546,2,28,2,172,0,1,1,0,1,1,14,0,1,0,0,23,1,http://begenburda.blogspot.kr/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiiscaias.vicsvesai.1iui33.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://k365cdn.cc/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ipfs.best-practice.se/ipfs/bafybeigzcvq4bstcsbq3cbm7ulfhhdbg2l6n22sigh5xsng4dpbkueje6q,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://sonecrepso.firebaseapp.com/,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,29,0,0,6,5,2,53,1,1,1,1842,1,34,3,90,2,1,0,0,0,0,7,1,0,0,0,27,0,http://www.telnyc.com,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.rspvm.servergame.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiivcaia.vicsvesai.n9k5yv.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiciavcai.visvsai.4awkri.icu/page1.php,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,85,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,http://www.mail-king.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macsarrod.1lvvvd.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-pcccny.aueseasaomceoy.jfwjev.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,http://www.nord-vpn.club,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macesarrod.icfpvc.top/page1.php,1
1,1,1,0,0,1,1,1,0,0,0,3,1,0,0,0,0,0,1,0,4,21,0,0,0,364,0,0,2,14,0,0,1,0,0,0,3,0,0,0,0,2,0,https://ipfs.io/ipfs/QmXoTVzstE3zao7JvQG82XrLBJUMSDCX1ruPVoXRj8wJa1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,28,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://protect-a5129.web.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsviacveaiao.visvsai.15tf68.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiavcai.vicsvesai.of6jh4.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,82,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.orange1233.e1.luyouxia.net,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macsaoeod.vhvjv7.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-paccoy.aueseacaomceoy.vcdolz.top/AU/page1.php,1
1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,70,0,0,10,0,35,33,0,1,0,707,1,64,0,38,0,1,0,0,0,0,27,1,0,0,0,13,0,https://email-certifiermailbox30.authenticator11.repl.co/,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,http://inobreaksccooejr.hostfree.pw/accounnt=service=firt.html,1
1,1,1,0,1,1,0,1,1,0,1,6,2,0,0,22,0,0,8,10,15,9,1,1,0,2708,1,32,11,58,0,1,1,1,0,1,8,1,0,0,1,9,0,http://www.ajapro.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiavcai.vicsvesai.7n6v2v.icu/page1.php,1
1,1,0,0,1,1,1,0,0,0,0,4,0,0,0,2,0,0,7,3,6,14,0,0,0,394,0,9,3,22,0,0,1,0,0,1,0,0,0,0,0,2,0,http://clients.devtux.com/updates/payment/mweb.html,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,11,0,0,0,117,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,http://www.x.gp,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsviiaaieca.vicsvesai.1iui33.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiisaaicca.vicsvesai.9u60bt.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-pcccny.aeeauasaaocmeoy.pvnoai.top/AU/page1.php,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,53,0,0,0,80,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,https://goodw2.myportfolio.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-poccay.aeeseaccaocmeoy.zlxcfy.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-pcccny.aueseasaomceoy.tbmswx.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macsareod.no2exp.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-poccay.aeeauaccaocmeoy.utndwl.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.treeproducealarm.com,1
1,1,0,0,1,1,0,0,0,0,0,7,0,0,0,5,0,0,1,0,10,16,1,0,0,773,0,7,3,9,0,0,1,0,0,1,3,0,0,0,0,2,0,http://www.unblockanything.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsviiaaiecc.vicsvesai.09vz0h.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-poccy.aeueseacaomceoy.caiknr.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiiscaias.vicsvesai.7ld7p9.icu/page1.php,1
1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,3,13,0,0,0,226,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://b8roau.webwave.dev/,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,https://ipfs.litnet.work/ipfs/bafybeiccj5cf55ruwyu5zyn7jmzu45xj3d4haewvv6p3pta2wpzbqq45nm,1
1,1,0,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0,5,1,7,7,0,0,0,248,0,7,4,23,0,0,1,0,0,0,4,0,0,0,0,8,0,https://storageapi.fleek.co/b7425de1-641e-4bf0-95e9-493d43e537fb-bucket/RFQ11002092.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiisaaicca.vicsvesai.n9k5yv.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-paccey.aeeseasoaocmeoy.flfoew.top/AU/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.macseoeod.v72weu.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.tlmcplxk.net,1
1,1,1,0,1,1,0,1,1,0,0,21,4,0,35,70,0,0,6,61,27,44,1,1,1,4115,4,106,34,165,0,1,1,1,1,1,5,1,0,0,0,92,0,https://www.dishaeye.org/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsiisaviccai.vicsvesai.fi03rf.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.vivcsviveai.vicsvesai.0bj313.icu/page1.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.au-poccay.aueseacaomceoy.boufbt.top/AU/page1.php,1
